url,page_type,overall_score,content_structure,citation_worthiness,authority_signals,ai_consumption,recommendations_count,top_recommendation
https://brushonblock.com/pages/why-use-brush-on-block-mineral-powder-sunscreen,product_page,30.38,76.58,3.82,29.55,43.74,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/brush-on-block-has-a-mineral-powder-sunscreen-for-everyone,product_page,35.54,79.23,5.42,40.81,62.14,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/the-reason-you-should-choose-mineral-makeup-sunscreen-over-traditional-lotion,product_page,41.57,86.65,27.63,43.36,43.32,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/sunscreen-spray-that-you-can-feel-good-about,product_page,38.46,75.57,23.16,42.61,52.51,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/top-3-tips-to-use-sunscreen-properly,product_page,35.09,83.97,3.01,40.2,53.02,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/men-sun-care-why-you-should-encourage-the-men-in-your-life-to-apply-sunscreen-daily,product_page,44.07,77.08,42.27,50.98,40.42,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/sunscreen-skincare-secrets-revealed,product_page,36.24,78.6,7.56,49.08,48.8,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/teaching-your-children-to-apply-sunscreen,product_page,39.91,87.09,23.21,41.86,39.68,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/117704708-the-7-best-skincare-products-30-and-under,product_page,33.12,76.83,2.47,41.12,50.73,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/let-s-talk-about-why-skin-care-professionals-choose-brush-on-block,blog_post,42.84,76.6,42.65,40.45,49.41,3,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/how-to-choose-the-best-sunscreen,product_page,39.69,77.7,25.96,42.97,51.82,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/117706116-does-makeup-with-an-spf-provide-enough-sun-protection,blog_post,34.24,78.87,2.53,43.05,52.8,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/sunscreen-protects-skin-from-aging,product_page,45.15,85.04,45.84,40.46,43.42,4,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/tagged/history-of-sunscreen,product_page,30.81,80.36,0.0,27.0,53.21,5,Optimize paragraph length (aim for 50-150 words per paragraph)
