competitor_name,overall_score,content_types_count,unique_features_count,top_keyword,top_keyword_mentions,authority_score,avg_word_count
Brush on Block (BRAND),34.98,N/A,N/A,N/A,N/A,N/A,N/A
EltaMD,29.67,1,4,zinc oxide,103,30.06,698.0
