competitor_name,overall_score,content_types_count,unique_features_count,top_keyword,top_keyword_mentions,authority_score,avg_word_count
Brush on Block (BRAND),35.07,N/A,N/A,N/A,N/A,N/A,N/A
EltaMD,30.01,1,4,zinc oxide,111,29.85,613.0
Supergoop,30.16,1,1,titanium dioxide,90,29.62,317.0
