competitor,total_mentions,queries_mentioned,engines_count,engines_list,average_position,positive_mentions,negative_mentions,neutral_mentions,sentiment_ratio
eltamd,143,143,3,"openai, google, anthropic",10.41,61,6,131,0.43
cerave,78,78,3,"openai, anthropic, google",11.41,20,8,67,0.26
supergoop,77,77,3,"openai, google, anthropic",19.07,2,3,110,0.03
blue lizard,72,72,3,"openai, google, anthropic",16.6,12,1,85,0.17
neutrogena,55,55,3,"openai, google, anthropic",17.03,11,5,81,0.2
badger,46,46,3,"openai, google, anthropic",15.38,0,49,14,0.0
coola,34,34,3,"openai, google, anthropic",18.02,8,0,38,0.24
thinkbaby,34,34,3,"openai, google, anthropic",18.63,23,0,18,0.68
thinksport,23,23,3,"openai, anthropic, google",16.52,5,2,18,0.22
aveeno,13,13,2,"openai, google",23.52,3,0,22,0.23
sun bum,12,12,3,"openai, google, anthropic",17.83,0,1,11,0.0
drunk elephant,9,9,3,"openai, google, anthropic",17.56,2,0,7,0.22
all good,9,9,3,"openai, google, anthropic",19.6,3,0,7,0.33
alba botanica,2,2,1,openai,10.5,0,0,2,0.0
goddess garden,2,2,2,"openai, google",16.0,0,1,3,0.0
bare republic,2,2,2,"openai, anthropic",20.0,0,0,4,0.0
stream2sea,1,1,1,google,27.0,0,0,1,0.0
dermalogica,1,1,1,google,20.0,1,0,0,1.0
coppertone,1,1,1,openai,25.0,0,0,1,0.0
banana boat,1,1,1,openai,27.0,0,0,1,0.0
