competitor_name,overall_score,content_types_count,unique_features_count,top_keyword,top_keyword_mentions,authority_score,avg_word_count
Nike (BRAND),28.55,N/A,N/A,N/A,N/A,N/A,N/A
Under Armour,35.96,2,0,running shoes,3,29.44,3688.0
