url,page_type,overall_score,content_structure,citation_worthiness,authority_signals,ai_consumption,recommendations_count,top_recommendation
https://www.nike.com/ph/product-advice/buying-guides,product_page,28.05,71.06,1.17,27.0,45.97,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/sg/product-advice/buying-guides,product_page,28.09,71.16,1.18,27.0,46.06,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/product-advice/buying-guides,product_page,29.55,68.07,1.02,39.0,44.73,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/za/product-advice/buying-guides/yoga,product_page,33.01,69.91,21.13,27.76,46.94,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/at/en/product-advice/buying-guides,product_page,28.08,71.41,1.11,27.0,45.48,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/gb/product-advice/buying-guides,product_page,28.09,71.45,1.12,27.0,45.49,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ro/product-advice/buying-guides/yoga,product_page,33.01,69.91,21.13,27.76,46.94,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/gb/product-advice/buying-guides/yoga,product_page,33.0,69.88,21.13,27.75,46.92,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ro/product-advice/buying-guides,product_page,28.1,71.47,1.12,27.0,45.51,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/nz/product-advice/buying-guides/training-gym,product_page,30.11,78.95,0.0,27.67,48.39,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/sg/product-advice/buying-guides/training-gym,product_page,28.14,72.16,0.0,27.78,45.42,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/in/product-advice/buying-guides/yoga,product_page,33.42,72.34,20.0,27.81,47.75,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/be/en/product-advice/buying-guides,product_page,28.1,71.49,1.11,27.0,45.48,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/sk/product-advice/buying-guides/training-gym,product_page,28.42,72.39,1.11,27.74,44.93,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/hr/product-advice/buying-guides,product_page,28.1,71.47,1.12,27.0,45.51,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ch/en/product-advice/buying-guides,product_page,28.1,71.47,1.12,27.0,45.51,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/au/product-advice/buying-guides,product_page,27.89,69.91,1.29,27.0,46.93,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/jp/product-advice/buying-guides/ランニング,product_page,20.81,50.03,0.0,27.0,29.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/jp/product-advice/buying-guides/training-gym,product_page,21.01,50.03,0.0,27.0,31.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/product-advice/buying-guides/yoga,product_page,34.7,68.9,20.0,39.69,45.4,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ph/product-advice/buying-guides/training-gym,product_page,28.1,72.06,0.0,27.78,45.34,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ie/product-advice/buying-guides/training-gym,product_page,28.4,72.33,1.11,27.74,44.9,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/sg/product-advice/buying-guides/yoga,product_page,33.27,71.8,20.0,27.8,47.62,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/si/product-advice/buying-guides/yoga,product_page,32.98,69.84,21.13,27.75,46.9,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/za/product-advice/buying-guides/training-gym,product_page,28.42,72.39,1.11,27.74,44.93,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/nl/en/product-advice/buying-guides,product_page,28.1,71.49,1.11,27.0,45.48,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/my/product-advice/buying-guides/training-gym,product_page,28.14,72.16,0.0,27.78,45.42,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/product-advice/buying-guides/training-gym,product_page,29.6,68.97,0.0,39.68,44.25,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/my/product-advice/buying-guides,product_page,28.09,71.16,1.18,27.0,46.06,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ie/product-advice/buying-guides,product_page,28.08,71.41,1.11,27.0,45.48,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/nz/product-advice/buying-guides,product_page,30.11,78.95,0.0,27.67,48.39,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/in/product-advice/buying-guides,product_page,28.25,71.72,1.2,27.0,46.16,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ca/product-advice/buying-guides/training-gym,product_page,28.44,72.48,1.11,27.74,44.93,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/ca/product-advice/buying-guides,product_page,28.12,71.56,1.12,27.0,45.51,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/lu/en/product-advice/buying-guides,product_page,28.08,71.41,1.11,27.0,45.48,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.nike.com/jp/product-advice/buying-guides,product_page,20.81,50.03,0.0,27.0,29.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
