url,page_type,overall_score,content_structure,citation_worthiness,authority_signals,ai_consumption,recommendations_count,top_recommendation
https://www.mcdonalds.com/us/en-us/faq/where-can-i-find-information-about-product-nutrition-and-ingredients.html,product_page,41.53,72.35,26.32,45.0,55.6,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/gb/en-gb/help/faq/can-you-tell-me-about-the-welfare-standards-of-the-cows-mcdonald-s-uses-in-it-s-beef-products.html,product_page,38.62,83.39,6.52,45.0,33.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/gb/en-gb/help/faq/what-are-the-ingredients-in-your-milkshakes-and-ice-cream-products.html,product_page,37.93,79.53,0.0,45.0,50.73,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/gb/en-gb/help/faq/where-can-i-find-information-about-the-ingredients-in-your-food.html,faq_page,37.93,79.53,0.0,45.0,50.73,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/om/en-om/about-our-food/our-ingredients.html,about_page,30.5,51.38,10.91,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/ae/ar-ae/about-our-food/our-ingredients-old.html,about_page,36.16,72.43,9.68,45.0,35.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/kw/ar-kw/about-our-food/our-ingredients.html,about_page,35.59,75.65,0.0,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/bh/ar-bh/about-our-food/our-ingredients.html,about_page,35.08,73.92,0.0,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/kw/en-kw/about-our-food/our-ingredients.html,about_page,31.63,55.4,10.53,45.0,39.0,5,Shorten sentences for better readability (aim for 15-25 words)
https://www.mcdonalds.com/ae/en-ae/about-our-food/our-ingredients.html,about_page,30.56,53.18,10.53,45.0,35.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/om/ar-om/about-our-food/our-ingredients-old.html,about_page,37.18,75.83,9.68,45.0,35.0,5,Improve readability - content may be too complex
https://www.mcdonalds.com/bh/en-bh/about-our-food/our-ingredients.html,about_page,30.72,52.37,10.53,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/bh/en-bh/about-our-food1/our-ingredients.html,about_page,30.24,52.11,10.53,45.0,35.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/qa/ar-qa/about-our-food/our-ingredients.html,about_page,34.88,73.28,0.0,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/ae/ar-ae/about-our-food/our-ingredients.html,about_page,35.03,75.09,0.0,45.0,35.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/om/ar-om/about-our-food/our-ingredients.html,about_page,34.9,73.33,0.0,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://www.mcdonalds.com/qa/en-qa/about-our-food/our-ingredients.html,about_page,30.5,51.64,10.53,45.0,39.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
