url,page_type,overall_score,content_structure,citation_worthiness,authority_signals,ai_consumption,recommendations_count,top_recommendation
https://brushonblock.com/products/quick-stick-spf-40-mineral-sunscreen,product_page,30.88,74.53,2.06,28.65,59.98,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bounce-butter-spf-30-mineral-sunscreen-moisturizing-mousse-for-the-body,product_page,29.05,70.35,1.31,28.57,54.26,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sheer-genius-mineral-sunscreen-moisture-spf-50,product_page,34.94,73.44,19.09,29.43,59.25,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sheer-genius-universal-tint-spf-50-mineral-sunscreen-moisture,product_page,30.41,73.04,2.02,29.02,58.42,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/translucent-mineral-powder-sunscreen-refill-spf-50,product_page,33.84,75.03,15.08,29.5,54.12,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/brush-on-block-translucent-mineral-powder-sunscreen-spf-50,product_page,31.47,74.13,2.79,29.09,64.16,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/touch-of-tan-mineral-powder-sunscreen-refill-spf-30,product_page,38.55,77.28,32.22,28.52,54.73,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/sol-spf-50-spray-on-lotion-sunscreen,product_page,30.38,72.36,1.86,28.86,60.5,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-spf-50-spray-on-lotion-sunscreen,product_page,30.52,72.24,2.24,28.92,61.2,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/products/bob-kids-sun-balm-spf-40-broad-spectrum-sunscreen,product_page,32.48,81.85,1.47,28.68,59.11,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/pages/about-brush-on-block-mineral-powder-sunscreen,product_page,25.46,56.47,7.41,31.94,31.0,5,Optimize paragraph length (aim for 50-150 words per paragraph)
https://brushonblock.com/blogs/news/introducing-sheer-genius-mineral-sunscreen-moisture-spf-50,product_page,35.38,86.64,1.72,40.53,51.91,5,Optimize paragraph length (aim for 50-150 words per paragraph)
