competitor_name,overall_score,content_types_count,unique_features_count,top_keyword,top_keyword_mentions,authority_score,avg_word_count
Brush on Block (BRAND),34.73,N/A,N/A,N/A,N/A,N/A,N/A
EltaMD,30.37,1,4,zinc oxide,112,29.99,603.0
Supergoop,38.6,1,1,titanium dioxide,64,34.46,516.0
